Date,JSE,NSE
3-Jul-95,4718.44,547.00
4-Jul-95,4769.58,
5-Jul-95,4746.64,547.00
6-Jul-95,4751.42,554.00
7-Jul-95,4820.25,556.00
10-Jul-95,4803.04,557.00
11-Jul-95,4768.15,555.00
12-Jul-95,4804.95,561.00
13-Jul-95,4841.76,561.00
14-Jul-95,4820.73,560.00
17-Jul-95,4854.18,563.00
18-Jul-95,4910.10,559.00
19-Jul-95,4883.82,551.00
20-Jul-95,4826.94,554.00
21-Jul-95,4803.04,554.00
24-Jul-95,4813.08,557.00
25-Jul-95,4816.90,561.00
26-Jul-95,4792.05,562.00
27-Jul-95,4803.04,565.00
28-Jul-95,4782.49,563.00
31-Jul-95,4815.95,562.00
1-Aug-95,4818.81,560.00
2-Aug-95,4899.59,559.00
3-Aug-95,4899.11,559.00
4-Aug-95,4911.54,559.00
7-Aug-95,4934.00,560.00
8-Aug-95,4966.03,560.00
10-Aug-95,4961.25,558.00
11-Aug-95,4936.39,555.00
14-Aug-95,4912.49,560.00
15-Aug-95,4954.08,559.00
16-Aug-95,4922.53,560.00
17-Aug-95,4940.69,559.00
18-Aug-95,4940.69,559.00
21-Aug-95,4945.95,558.00
22-Aug-95,4935.44,560.00
23-Aug-95,4927.31,557.00
24-Aug-95,4931.61,558.00
25-Aug-95,4910.58,560.00
28-Aug-95,4890.03,559.00
29-Aug-95,4894.33,560.00
30-Aug-95,4893.85,561.00
31-Aug-95,4893.85,562.00
1-Sep-95,4887.16,564.00
4-Sep-95,4864.70,
5-Sep-95,4855.14,569.00
6-Sep-95,4889.55,570.00
7-Sep-95,4925.40,570.00
8-Sep-95,4932.57,573.00
11-Sep-95,4958.38,574.00
12-Sep-95,4970.33,577.00
13-Sep-95,4981.80,579.00
14-Sep-95,5007.13,584.00
15-Sep-95,5010.48,583.00
18-Sep-95,4991.84,583.00
19-Sep-95,4995.18,584.00
20-Sep-95,4987.53,587.00
21-Sep-95,4985.62,583.00
22-Sep-95,4989.92,582.00
26-Sep-95,4996.62,581.00
27-Sep-95,4974.63,581.00
28-Sep-95,4962.68,586.00
29-Sep-95,4989.92,584.00
30-Sep-95,4989.92,
2-Oct-95,4986.10,582.00
3-Oct-95,4989.45,582.00
4-Oct-95,5012.87,582.00
