Date, Price 
3-Jul-95,4718.44
4-Jul-95,4769.58
5-Jul-95,4746.64
6-Jul-95,4751.42
7-Jul-95,4820.25
10-Jul-95,4803.04
11-Jul-95,4768.15
12-Jul-95,4804.95
13-Jul-95,4841.76
14-Jul-95,4820.73
17-Jul-95,4854.18
18-Jul-95,4910.10
19-Jul-95,4883.82
20-Jul-95,4826.94
21-Jul-95,4803.04
24-Jul-95,4813.08
25-Jul-95,4816.90
26-Jul-95,4792.05
27-Jul-95,4803.04
28-Jul-95,4782.49
31-Jul-95,4815.95
1-Aug-95,4818.81
2-Aug-95,4899.59
3-Aug-95,4899.11
4-Aug-95,4911.54
7-Aug-95,4934.00
8-Aug-95,4966.03
10-Aug-95,4961.25
11-Aug-95,4936.39
14-Aug-95,4912.49
15-Aug-95,4954.08
16-Aug-95,4922.53
17-Aug-95,4940.69
18-Aug-95,4940.69
21-Aug-95,4945.95
22-Aug-95,4935.44
23-Aug-95,4927.31
24-Aug-95,4931.61
25-Aug-95,4910.58
28-Aug-95,4890.03
29-Aug-95,4894.33
30-Aug-95,4893.85
31-Aug-95,4893.85
1-Sep-95,4887.16
4-Sep-95,4864.70
5-Sep-95,4855.14
6-Sep-95,4889.55
7-Sep-95,4925.40
8-Sep-95,4932.57
11-Sep-95,4958.38
12-Sep-95,4970.33
13-Sep-95,4981.80
14-Sep-95,5007.13
15-Sep-95,5010.48
18-Sep-95,4991.84
19-Sep-95,4995.18
20-Sep-95,4987.53
21-Sep-95,4985.62
22-Sep-95,4989.92
26-Sep-95,4996.62
27-Sep-95,4974.63
28-Sep-95,4962.68
29-Sep-95,4989.92
30-Sep-95,4989.92
2-Oct-95,4986.10
3-Oct-95,4989.45
4-Oct-95,5012.87
5-Oct-95,5063.05
6-Oct-95,5084.08
9-Oct-95,5124.23
10-Oct-95,5060.66
11-Oct-95,5104.16
12-Oct-95,5147.65
13-Oct-95,5152.43
16-Oct-95,5160.08
17-Oct-95,5167.73
18-Oct-95,5243.24
19-Oct-95,5190.67
20-Oct-95,5159.60
23-Oct-95,5165.34
24-Oct-95,5141.92
25-Oct-95,5181.59
26-Oct-95,5128.53
27-Oct-95,5067.35
30-Oct-95,5052.06
31-Oct-95,5093.64
2-Nov-95,5118.50
3-Nov-95,5150.52
6-Nov-95,5198.79
7-Nov-95,5241.33
8-Nov-95,5281.00
9-Nov-95,5305.38
10-Nov-95,5302.51
13-Nov-95,5319.72
14-Nov-95,5298.69
15-Nov-95,5270.01
16-Nov-95,5293.91
17-Nov-95,5314.94
20-Nov-95,5339.79
21-Nov-95,5318.76
22-Nov-95,5280.53
23-Nov-95,5236.55
24-Nov-95,5260.93
27-Nov-95,5226.04
28-Nov-95,5266.66
29-Nov-95,5226.99
30-Nov-95,5213.13
1-Dec-95,5227.47
4-Dec-95,5246.11
5-Dec-95,5326.41
6-Dec-95,5435.86
7-Dec-95,5540.06
8-Dec-95,5507.56
11-Dec-95,5550.57
12-Dec-95,5582.60
13-Dec-95,5538.62
14-Dec-95,5506.60
15-Dec-95,5476.01
18-Dec-95,5509.47
19-Dec-95,5459.28
20-Dec-95,5481.27
21-Dec-95,5508.99
22-Dec-95,5505.17
27-Dec-95,5486.05
28-Dec-95,5466.93
29-Dec-95,5438.73
31-Dec-95,5438.73
2-Jan-96,5463.11
3-Jan-96,5634.22
4-Jan-96,5700.18
5-Jan-96,5726.46
8-Jan-96,5812.02
9-Jan-96,5818.23
10-Jan-96,5814.41
11-Jan-96,5824.92
12-Jan-96,5907.13
15-Jan-96,5893.75
16-Jan-96,5981.70
17-Jan-96,6029.49
18-Jan-96,5999.38
19-Jan-96,5984.56
22-Jan-96,6078.72
23-Jan-96,6104.05
24-Jan-96,6097.84
25-Jan-96,6115.05
26-Jan-96,6108.36
29-Jan-96,6079.68
30-Jan-96,6069.64
31-Jan-96,6001.77
1-Feb-96,6022.80
2-Feb-96,6117.91
5-Feb-96,6067.25
6-Feb-96,6042.87
7-Feb-96,6090.67
8-Feb-96,6007.98
9-Feb-96,5991.25
12-Feb-96,5901.40
13-Feb-96,5856.47
14-Feb-96,5875.11
15-Feb-96,5963.06
16-Feb-96,5941.07
19-Feb-96,5883.24
20-Feb-96,5808.67
21-Feb-96,5746.54
22-Feb-96,5878.93
23-Feb-96,5914.30
26-Feb-96,5944.41
27-Feb-96,5853.12
28-Feb-96,5829.23
29-Feb-96,5809.63
1-Mar-96,5820.62
4-Mar-96,5843.09
5-Mar-96,5778.56
6-Mar-96,5811.06
7-Mar-96,5803.42
8-Mar-96,5829.23
11-Mar-96,5673.89
12-Mar-96,5810.11
13-Mar-96,5809.15
14-Mar-96,5810.59
15-Mar-96,5879.41
18-Mar-96,5801.98
19-Mar-96,5792.90
20-Mar-96,5789.08
22-Mar-96,5878.46
25-Mar-96,5924.34
26-Mar-96,5921.47
27-Mar-96,5959.71
28-Mar-96,5904.74
29-Mar-96,5935.81
31-Mar-96,5935.81
1-Apr-96,5893.27
2-Apr-96,5880.85
3-Apr-96,5870.33
4-Apr-96,5891.84
9-Apr-96,5874.63
10-Apr-96,5839.74
11-Apr-96,5838.78
12-Apr-96,5865.55
15-Apr-96,5897.10
16-Apr-96,6047.65
17-Apr-96,6100.23
18-Apr-96,6121.26
19-Apr-96,6191.52
22-Apr-96,6300.97
23-Apr-96,6215.42
24-Apr-96,6164.28
25-Apr-96,6252.22
26-Apr-96,6246.01
29-Apr-96,6136.08
30-Apr-96,6173.84
2-May-96,6196.30
3-May-96,6126.52
6-May-96,6063.43
7-May-96,6083.50
8-May-96,6004.16
9-May-96,5923.38
10-May-96,5986.00
13-May-96,6051.96
14-May-96,6115.52
15-May-96,6079.20
16-May-96,6037.14
17-May-96,5977.87
20-May-96,5918.60
21-May-96,5909.52
22-May-96,5922.43
23-May-96,5945.85
24-May-96,5975.00
27-May-96,5987.91
28-May-96,6053.87
29-May-96,6067.73
30-May-96,6050.52
31-May-96,6126.52
3-Jun-96,6110.75
4-Jun-96,6116.48
5-Jun-96,6087.80
6-Jun-96,6105.01
7-Jun-96,6075.38
10-Jun-96,6094.02
11-Jun-96,6035.71
12-Jun-96,6080.63
13-Jun-96,6084.94
14-Jun-96,6061.99
18-Jun-96,6072.99
19-Jun-96,6120.78
20-Jun-96,6086.37
21-Jun-96,6101.19
24-Jun-96,6100.23
25-Jun-96,6130.82
26-Jun-96,6147.55
27-Jun-96,6137.51
28-Jun-96,6091.15
30-Jun-96,6091.15
1-Jul-96,6077.29
2-Jul-96,6116.48
3-Jul-96,6117.91
4-Jul-96,6125.56
5-Jul-96,6091.15
8-Jul-96,6050.52
9-Jul-96,6094.97
10-Jul-96,6117.44
11-Jul-96,6059.13
12-Jul-96,5957.80
15-Jul-96,5967.36
16-Jul-96,5781.43
17-Jul-96,5859.82
18-Jul-96,5889.45
19-Jul-96,5980.26
22-Jul-96,5932.94
23-Jul-96,5945.85
24-Jul-96,5812.02
25-Jul-96,5852.65
26-Jul-96,5830.18
29-Jul-96,5838.31
30-Jul-96,5815.84
31-Jul-96,5776.65
1-Aug-96,5775.69
